latitude,longitude,created
53.3462086,-6.2923669,2023-05-17T10:45:06.463000+00:00
53.3461945,-6.2924444,2023-05-17T10:45:11.397000+00:00
53.346203,-6.2924541,2023-05-17T10:45:16.388000+00:00
53.3461546,-6.2924215,2023-05-17T10:45:21.443000+00:00
53.3461805,-6.2924327,2023-05-17T10:45:26.357000+00:00
53.3461766,-6.292464,2023-05-17T10:45:31.356000+00:00
53.3461787,-6.2924312,2023-05-17T10:45:36.676000+00:00
53.3462231,-6.2922617,2023-05-17T10:45:41.462000+00:00
53.3462231,-6.2922617,2023-05-17T10:45:46.494000+00:00
53.3462365,-6.2922038,2023-05-17T10:45:46.691000+00:00
53.3462365,-6.2922038,2023-05-17T10:45:51.697000+00:00
53.3462365,-6.2922038,2023-05-17T10:45:56.717000+00:00
53.3462365,-6.2922038,2023-05-17T10:46:01.725000+00:00
53.3468237,-6.2912532,2023-05-17T10:46:13.313000+00:00
53.3468523,-6.2912009,2023-05-17T10:46:18.100000+00:00
53.3473736,-6.2906354,2023-05-17T10:46:23.378000+00:00
53.3470537,-6.2909498,2023-05-17T10:46:28.254000+00:00
53.3468804,-6.2912215,2023-05-17T10:46:33.367000+00:00
53.346808,-6.2913506,2023-05-17T10:46:38.123000+00:00
53.3464313,-6.2835285,2023-05-17T10:46:43.336000+00:00
53.3473656,-6.2860366,2023-05-17T10:46:48.640000+00:00
53.3472858,-6.2852456,2023-05-17T10:46:53.385000+00:00
53.3471334,-6.2850512,2023-05-17T10:46:58.409000+00:00
53.3470926,-6.2849049,2023-05-17T10:47:03.655000+00:00
53.3470976,-6.2848834,2023-05-17T10:47:08.486000+00:00
53.3470914,-6.2848432,2023-05-17T10:47:13.694000+00:00
53.3471011,-6.2848758,2023-05-17T10:47:18.487000+00:00
53.3470843,-6.2849356,2023-05-17T10:47:23.483000+00:00
53.3470823,-6.2846256,2023-05-17T10:47:28.807000+00:00
53.3470657,-6.284389,2023-05-17T10:47:33.562000+00:00
53.3470563,-6.2843571,2023-05-17T10:47:38.905000+00:00
53.3470502,-6.28429,2023-05-17T10:47:43.838000+00:00
53.3470503,-6.2842462,2023-05-17T10:47:48.696000+00:00
53.3470433,-6.284264,2023-05-17T10:47:53.929000+00:00
53.3470581,-6.2840891,2023-05-17T10:47:58.690000+00:00
53.3470263,-6.2838358,2023-05-17T10:48:03.834000+00:00
53.3469599,-6.2836546,2023-05-17T10:48:08.777000+00:00
53.3469818,-6.2833651,2023-05-17T10:48:13.872000+00:00
53.3469681,-6.2829223,2023-05-17T10:48:19.069000+00:00
53.3469412,-6.2824722,2023-05-17T10:48:23.700000+00:00
53.3465261,-6.2815369,2023-05-17T10:48:28.836000+00:00
53.3465742,-6.2812639,2023-05-17T10:48:33.750000+00:00
53.3467755,-6.2807308,2023-05-17T10:48:39.454000+00:00
53.3467006,-6.2804141,2023-05-17T10:48:43.997000+00:00
53.3466286,-6.2798518,2023-05-17T10:48:48.833000+00:00
53.3465407,-6.2794556,2023-05-17T10:48:53.998000+00:00
53.3463797,-6.2789647,2023-05-17T10:48:59.048000+00:00
53.3463417,-6.2786353,2023-05-17T10:49:03.830000+00:00
53.3463204,-6.2784739,2023-05-17T10:49:09.124000+00:00
53.3463508,-6.27868,2023-05-17T10:49:13.927000+00:00
53.3463624,-6.2785498,2023-05-17T10:49:19.114000+00:00
53.3463282,-6.2784947,2023-05-17T10:49:23.967000+00:00
53.3463163,-6.278361,2023-05-17T10:49:28.971000+00:00
53.3462148,-6.2776645,2023-05-17T10:49:34.068000+00:00
53.3460594,-6.2771756,2023-05-17T10:49:39.115000+00:00
53.3460154,-6.2768713,2023-05-17T10:49:43.979000+00:00
53.3460105,-6.2768219,2023-05-17T10:49:49.400000+00:00
53.3459709,-6.2766759,2023-05-17T10:49:54.176000+00:00
53.3459494,-6.2765792,2023-05-17T10:49:59.364000+00:00
53.3459068,-6.2764996,2023-05-17T10:50:04.135000+00:00
53.3459064,-6.2763154,2023-05-17T10:50:09.155000+00:00
53.3459034,-6.2762379,2023-05-17T10:50:14.293000+00:00
53.3459232,-6.2762348,2023-05-17T10:50:19.149000+00:00
53.3459331,-6.276227,2023-05-17T10:50:24.220000+00:00
53.3459382,-6.2762427,2023-05-17T10:50:29.089000+00:00
53.345931,-6.2762882,2023-05-17T10:50:34.217000+00:00
53.3459374,-6.2762421,2023-05-17T10:50:39.411000+00:00
53.345935,-6.2762754,2023-05-17T10:50:44.264000+00:00
53.3459324,-6.2763063,2023-05-17T10:50:49.264000+00:00
53.3459009,-6.2760747,2023-05-17T10:50:54.590000+00:00
53.3458821,-6.2755676,2023-05-17T10:50:59.279000+00:00
53.3458194,-6.2751058,2023-05-17T10:51:05.033000+00:00
53.3457621,-6.2747674,2023-05-17T10:51:09.267000+00:00
