latitude,longitude,created
40.2540141,-5.6914304,2022-12-21T08:51:54.586000+00:00
40.2530807,-5.6936288,2022-12-21T08:51:54.643000+00:00
40.2530807,-5.6936288,2022-12-21T08:52:00.111000+00:00
40.2530807,-5.6936288,2022-12-21T08:52:05.126000+00:00
40.2530807,-5.6936288,2022-12-21T08:52:10.501000+00:00
40.2530807,-5.6936288,2022-12-21T08:52:15.520000+00:00
40.2547695,-5.6916555,2022-12-21T08:52:20.576000+00:00
40.2547695,-5.6916555,2022-12-21T08:52:25.615000+00:00
40.2530807,-5.6936288,2022-12-21T08:52:30.565000+00:00
40.2547695,-5.6916555,2022-12-21T08:52:35.649000+00:00
40.2557581,-5.689525,2022-12-21T08:52:40.622000+00:00
40.2561297,-5.689235,2022-12-21T08:52:45.665000+00:00
40.2563255,-5.6890819,2022-12-21T08:52:50.721000+00:00
40.2561629,-5.6891687,2022-12-21T08:52:55.701000+00:00
40.2560652,-5.6892204,2022-12-21T08:53:00.684000+00:00
40.2561992,-5.6891226,2022-12-21T08:53:05.745000+00:00
40.2560941,-5.689185,2022-12-21T08:53:10.745000+00:00
40.2560663,-5.6891991,2022-12-21T08:53:15.803000+00:00
40.2559726,-5.6892584,2022-12-21T08:53:20.815000+00:00
40.260984,-5.6817901,2022-12-21T08:53:25.864000+00:00
40.260984,-5.6817901,2022-12-21T08:53:30.831000+00:00
40.2555678,-5.6883669,2022-12-21T08:53:35.908000+00:00
40.2555678,-5.6883669,2022-12-21T08:53:40.926000+00:00
40.260984,-5.6817901,2022-12-21T08:53:45.989000+00:00
40.260984,-5.6817901,2022-12-21T08:53:50.968000+00:00
40.2555678,-5.6883669,2022-12-21T08:53:56.007000+00:00
40.260984,-5.6817901,2022-12-21T08:54:01.035000+00:00
40.260984,-5.6817901,2022-12-21T08:54:06.029000+00:00
40.260984,-5.6817901,2022-12-21T08:54:11.105000+00:00
40.260984,-5.6817901,2022-12-21T08:54:16.124000+00:00
40.2555678,-5.6883669,2022-12-21T08:54:21.096000+00:00
40.2579254,-5.6857361,2022-12-21T08:54:26.177000+00:00
40.260984,-5.6817901,2022-12-21T08:54:31.214000+00:00
40.260984,-5.6817901,2022-12-21T08:54:36.193000+00:00
40.260984,-5.6817901,2022-12-21T08:54:41.215000+00:00
40.2555678,-5.6883669,2022-12-21T08:54:46.291000+00:00
40.2555678,-5.6883669,2022-12-21T08:54:51.240000+00:00
40.2555678,-5.6883669,2022-12-21T08:54:56.319000+00:00
40.2555678,-5.6883669,2022-12-21T08:55:01.334000+00:00
40.2555678,-5.6883669,2022-12-21T08:55:06.303000+00:00
40.2555678,-5.6883669,2022-12-21T08:55:11.337000+00:00
40.2555678,-5.6883669,2022-12-21T08:55:16.397000+00:00
40.2644574,-5.6758716,2022-12-21T08:55:21.366000+00:00
40.263023,-5.6791595,2022-12-21T08:55:26.409000+00:00
40.2644574,-5.6758716,2022-12-21T08:55:31.476000+00:00
