latitude,longitude,created
40.3947305,-3.6786455,2022-12-18T19:32:49.050000+00:00
40.3947305,-3.6786455,2022-12-18T19:32:53.678000+00:00
40.3947305,-3.6786455,2022-12-18T19:32:58.673000+00:00
40.3946745,-3.6792967,2022-12-18T19:33:03.782000+00:00
40.3946725,-3.6793202,2022-12-18T19:33:08.762000+00:00
40.3946725,-3.6793272,2022-12-18T19:33:13.787000+00:00
40.3946738,-3.6793239,2022-12-18T19:33:18.754000+00:00
40.3942752,-3.6790764,2022-12-18T19:33:23.789000+00:00
40.3941938,-3.6790337,2022-12-18T19:33:28.783000+00:00
40.394149,-3.6789679,2022-12-18T19:33:33.831000+00:00
40.3943934,-3.6784488,2022-12-18T19:33:39.045000+00:00
40.3943994,-3.6782965,2022-12-18T19:33:43.856000+00:00
40.394415,-3.6781797,2022-12-18T19:33:48.904000+00:00
40.394369,-3.6788234,2022-12-18T19:33:53.962000+00:00
40.3943886,-3.6788376,2022-12-18T19:33:58.865000+00:00
40.3944257,-3.6788429,2022-12-18T19:34:03.930000+00:00
40.3944252,-3.6784347,2022-12-18T19:34:08.948000+00:00
40.3944043,-3.6779269,2022-12-18T19:34:13.934000+00:00
40.3943318,-3.6777669,2022-12-18T19:34:19.501000+00:00
40.3942763,-3.6775805,2022-12-18T19:34:23.948000+00:00
40.3943582,-3.6775303,2022-12-18T19:34:29.022000+00:00
40.3940695,-3.6776708,2022-12-18T19:34:33.915000+00:00
40.3938281,-3.6780826,2022-12-18T19:34:38.964000+00:00
40.393713,-3.6779507,2022-12-18T19:34:43.972000+00:00
40.393675,-3.6774922,2022-12-18T19:34:48.958000+00:00
40.3938044,-3.677392,2022-12-18T19:34:53.955000+00:00
40.3938411,-3.6773411,2022-12-18T19:34:59+00:00
40.3940453,-3.6773884,2022-12-18T19:35:04.017000+00:00
40.3943828,-3.6774288,2022-12-18T19:35:09.128000+00:00
40.3947793,-3.6773804,2022-12-18T19:35:14.044000+00:00
40.39511,-3.6777889,2022-12-18T19:35:19.106000+00:00
40.3952951,-3.6778757,2022-12-18T19:35:24.028000+00:00
40.395187,-3.6779417,2022-12-18T19:35:28.995000+00:00
40.3953035,-3.6780247,2022-12-18T19:35:34.022000+00:00
40.3952437,-3.6780081,2022-12-18T19:35:39.106000+00:00
40.3953534,-3.6780857,2022-12-18T19:35:44.210000+00:00
40.3954179,-3.6781366,2022-12-18T19:35:49.134000+00:00
40.3954773,-3.6782009,2022-12-18T19:35:54.081000+00:00
40.3955191,-3.6782726,2022-12-18T19:35:59.043000+00:00
40.3955344,-3.678352,2022-12-18T19:36:04.091000+00:00
40.3955163,-3.678437,2022-12-18T19:36:09.093000+00:00
40.395463,-3.6785228,2022-12-18T19:36:14.182000+00:00
40.3948724,-3.6791684,2022-12-18T19:36:19.155000+00:00
40.3945747,-3.6793085,2022-12-18T19:36:24.114000+00:00
40.3942845,-3.6791674,2022-12-18T19:36:29.239000+00:00
40.3940224,-3.6790782,2022-12-18T19:36:34.321000+00:00
40.3936922,-3.6786111,2022-12-18T19:36:39.322000+00:00
40.3932062,-3.6780136,2022-12-18T19:36:44.671000+00:00
40.3930924,-3.6779232,2022-12-18T19:36:49.749000+00:00
40.3930665,-3.6778799,2022-12-18T19:36:54.628000+00:00
40.3930965,-3.6779058,2022-12-18T19:36:59.681000+00:00
40.3930833,-3.6780096,2022-12-18T19:37:04.658000+00:00
40.3931222,-3.6780496,2022-12-18T19:37:09.635000+00:00
40.3931221,-3.6780049,2022-12-18T19:37:14.630000+00:00
40.3931142,-3.6780532,2022-12-18T19:37:19.582000+00:00
40.3932522,-3.6781959,2022-12-18T19:37:24.587000+00:00
40.3931346,-3.6781074,2022-12-18T19:37:29.616000+00:00
40.3931162,-3.6781182,2022-12-18T19:37:34.627000+00:00
40.3933858,-3.6783674,2022-12-18T19:37:39.682000+00:00
40.3931578,-3.6781205,2022-12-18T19:37:44.695000+00:00
40.393129,-3.678061,2022-12-18T19:37:49.721000+00:00
40.393096,-3.6780274,2022-12-18T19:37:54.795000+00:00
40.3932784,-3.6781811,2022-12-18T19:38:00.479000+00:00
40.3936443,-3.6784992,2022-12-18T19:38:04.761000+00:00
40.3936109,-3.6785579,2022-12-18T19:38:09.623000+00:00
40.3928085,-3.6786104,2022-12-18T19:38:14.576000+00:00
40.3925636,-3.6787723,2022-12-18T19:38:19.873000+00:00
40.392218,-3.6790488,2022-12-18T19:38:24.734000+00:00
40.3902694,-3.6771018,2022-12-18T19:38:29.645000+00:00
40.3902694,-3.6771018,2022-12-18T19:38:34.780000+00:00
40.3902694,-3.6771018,2022-12-18T19:38:39.564000+00:00
40.3883463,-3.6792795,2022-12-18T19:38:44.588000+00:00
40.3887513,-3.6790809,2022-12-18T19:38:49.595000+00:00
40.3881642,-3.6795415,2022-12-18T19:38:54.594000+00:00
40.3843866,-3.6837174,2022-12-18T19:38:59.636000+00:00
40.3876696,-3.6805474,2022-12-18T19:39:04.637000+00:00
40.3845811,-3.6856433,2022-12-18T19:39:09.767000+00:00
40.3845811,-3.6856433,2022-12-18T19:39:14.597000+00:00
40.3845811,-3.6856433,2022-12-18T19:39:19.718000+00:00
40.3846343,-3.687092,2022-12-18T19:39:26.134000+00:00
40.3845966,-3.6892484,2022-12-18T19:39:32.062000+00:00
40.3845465,-3.6898851,2022-12-18T19:39:37.146000+00:00
40.3842054,-3.6913286,2022-12-18T19:39:42.001000+00:00
40.385699,-3.6979308,2022-12-18T19:39:48.911000+00:00
40.3859795,-3.6932832,2022-12-18T19:39:52.073000+00:00
40.3861263,-3.693482,2022-12-18T19:39:57.107000+00:00
40.3867777,-3.6941389,2022-12-18T19:40:02.184000+00:00
40.3870152,-3.6947095,2022-12-18T19:40:07.130000+00:00
40.3871714,-3.6951198,2022-12-18T19:40:12.138000+00:00
40.3873213,-3.6955136,2022-12-18T19:40:17.160000+00:00
40.3874375,-3.6958458,2022-12-18T19:40:21.968000+00:00
40.387525,-3.6961207,2022-12-18T19:40:26.956000+00:00
40.3875881,-3.6963435,2022-12-18T19:40:32.019000+00:00
40.3927513,-3.7008388,2022-12-18T19:40:37.128000+00:00
40.3927513,-3.7008388,2022-12-18T19:40:42.136000+00:00
40.3927513,-3.7008388,2022-12-18T19:40:47.144000+00:00
40.3927513,-3.7008388,2022-12-18T19:40:52.092000+00:00
40.3927513,-3.7008388,2022-12-18T19:40:57.105000+00:00
40.3927513,-3.7008388,2022-12-18T19:41:02.119000+00:00
40.3927513,-3.7008388,2022-12-18T19:41:07.199000+00:00
40.3927513,-3.7008388,2022-12-18T19:41:12.182000+00:00
40.3927513,-3.7008388,2022-12-18T19:41:17.207000+00:00
