latitude,longitude,created
53.3228414,-6.5254399,2022-12-14T17:35:05.734000+00:00
53.3228532,-6.5255712,2022-12-14T17:35:10.891000+00:00
53.3228634,-6.5256838,2022-12-14T17:35:15.799000+00:00
53.3228719,-6.5257783,2022-12-14T17:35:20.810000+00:00
53.3228638,-6.5256555,2022-12-14T17:35:25.949000+00:00
53.3228605,-6.5256137,2022-12-14T17:35:30.792000+00:00
53.3236853,-6.5263891,2022-12-14T17:35:35.862000+00:00
53.3238582,-6.5265455,2022-12-14T17:35:40.879000+00:00
53.3240782,-6.5267653,2022-12-14T17:35:45.818000+00:00
53.3242677,-6.526954,2022-12-14T17:35:51.121000+00:00
53.3259596,-6.5277511,2022-12-14T17:35:56.375000+00:00
53.3262052,-6.5278599,2022-12-14T17:36:01.385000+00:00
53.326672,-6.5281225,2022-12-14T17:36:06.370000+00:00
53.327904,-6.5286288,2022-12-14T17:36:11.464000+00:00
53.3281461,-6.5286894,2022-12-14T17:36:16.596000+00:00
53.3286838,-6.5289166,2022-12-14T17:36:21.419000+00:00
53.3300621,-6.5297511,2022-12-14T17:36:26.436000+00:00
53.3306522,-6.5299501,2022-12-14T17:36:31.455000+00:00
53.331164,-6.5301228,2022-12-14T17:36:36.247000+00:00
53.3317907,-6.530378,2022-12-14T17:36:46.481000+00:00
53.3321513,-6.530516,2022-12-14T17:36:51.398000+00:00
53.3324405,-6.5306231,2022-12-14T17:36:56.598000+00:00
53.3326606,-6.5307002,2022-12-14T17:37:01.598000+00:00
53.3328195,-6.5307513,2022-12-14T17:37:06.716000+00:00
53.3334229,-6.5311069,2022-12-14T17:37:11.400000+00:00
53.3337548,-6.5312654,2022-12-14T17:37:21.246000+00:00
53.334092,-6.5314252,2022-12-14T17:37:26.069000+00:00
53.3344234,-6.5315856,2022-12-14T17:37:31.085000+00:00
53.3333599,-6.5396005,2022-12-14T17:37:36.178000+00:00
53.3341244,-6.5318406,2022-12-14T17:37:41.502000+00:00
53.3328589,-6.5363917,2022-12-14T17:37:46.056000+00:00
