latitude,longitude,created
53.3352434,-6.5453766,2023-05-17T10:04:46.639000+00:00
53.3352377,-6.5453792,2023-05-17T10:04:52.001000+00:00
53.3352059,-6.5454109,2023-05-17T10:04:57.194000+00:00
53.3352098,-6.5454422,2023-05-17T10:05:01.890000+00:00
53.3357394,-6.5461699,2023-05-17T10:05:07.014000+00:00
53.3376894,-6.5439262,2023-05-17T10:05:12.264000+00:00
53.3340582,-6.5470158,2023-05-17T10:05:17.132000+00:00
53.3376766,-6.5429016,2023-05-17T10:05:22.326000+00:00
53.3376766,-6.5429016,2023-05-17T10:05:27.201000+00:00
53.3374697,-6.5412772,2023-05-17T10:05:32.629000+00:00
53.3375829,-6.5407503,2023-05-17T10:05:37.555000+00:00
53.33781,-6.5403473,2023-05-17T10:05:42.405000+00:00
53.3379331,-6.5402286,2023-05-17T10:05:47.570000+00:00
53.3379406,-6.5402895,2023-05-17T10:05:52.448000+00:00
53.3379281,-6.5403339,2023-05-17T10:05:57.429000+00:00
53.337926,-6.5403465,2023-05-17T10:06:02.736000+00:00
53.3380047,-6.540286,2023-05-17T10:06:07.557000+00:00
53.3383411,-6.539821,2023-05-17T10:06:12.779000+00:00
53.3384104,-6.5396782,2023-05-17T10:06:17.688000+00:00
53.3384673,-6.5394367,2023-05-17T10:06:22.490000+00:00
53.3379151,-6.5384444,2023-05-17T10:06:27.835000+00:00
53.3378158,-6.5379721,2023-05-17T10:06:32.673000+00:00
53.3377591,-6.5374126,2023-05-17T10:06:37.548000+00:00
53.3378304,-6.5366048,2023-05-17T10:06:42.774000+00:00
53.3378356,-6.5362024,2023-05-17T10:06:47.523000+00:00
53.3381125,-6.5346921,2023-05-17T10:06:52.938000+00:00
53.3380014,-6.5336074,2023-05-17T10:06:57.607000+00:00
53.3379909,-6.5330293,2023-05-17T10:07:02.565000+00:00
53.338692,-6.5316581,2023-05-17T10:07:07.808000+00:00
53.338943,-6.5310462,2023-05-17T10:07:12.744000+00:00
53.3390848,-6.5307465,2023-05-17T10:07:17.887000+00:00
53.339162,-6.5305838,2023-05-17T10:07:22.792000+00:00
53.3390454,-6.5312396,2023-05-17T10:07:27.841000+00:00
53.3390079,-6.5310213,2023-05-17T10:07:33.012000+00:00
53.338328,-6.5309129,2023-05-17T10:07:37.887000+00:00
53.3377227,-6.5309955,2023-05-17T10:07:43.024000+00:00
53.3370071,-6.5310641,2023-05-17T10:07:48.004000+00:00
53.3368252,-6.5310786,2023-05-17T10:07:52.864000+00:00
53.3367903,-6.5310863,2023-05-17T10:07:58.109000+00:00
53.3367834,-6.53112,2023-05-17T10:08:03.064000+00:00
53.3366683,-6.5312645,2023-05-17T10:08:08.168000+00:00
53.3362542,-6.5310274,2023-05-17T10:08:13.336000+00:00
53.3356014,-6.5308412,2023-05-17T10:08:18.055000+00:00
53.335203,-6.5307719,2023-05-17T10:08:23.052000+00:00
53.3349151,-6.5313599,2023-05-17T10:08:28.116000+00:00
53.3346363,-6.5316742,2023-05-17T10:08:32.955000+00:00
53.3343778,-6.5314571,2023-05-17T10:08:37.972000+00:00
53.3341405,-6.5311674,2023-05-17T10:08:43.040000+00:00
53.3338726,-6.5310493,2023-05-17T10:08:48.167000+00:00
53.3337123,-6.5309835,2023-05-17T10:08:53.044000+00:00
53.3335888,-6.5308175,2023-05-17T10:08:58.084000+00:00
53.3335211,-6.530872,2023-05-17T10:09:03.414000+00:00
53.333405,-6.5309897,2023-05-17T10:09:08.135000+00:00
53.333225,-6.5310218,2023-05-17T10:09:13.364000+00:00
53.3329911,-6.5310658,2023-05-17T10:09:18.239000+00:00
53.3322346,-6.5307176,2023-05-17T10:09:26.146000+00:00
53.3310242,-6.5301288,2023-05-17T10:09:37.613000+00:00
53.3283465,-6.5285759,2023-05-17T10:09:48.237000+00:00
53.3283465,-6.5285759,2023-05-17T10:09:54.946000+00:00
53.3283465,-6.5285759,2023-05-17T10:09:58.289000+00:00
53.3283465,-6.5285759,2023-05-17T10:10:03.385000+00:00
53.3283465,-6.5285759,2023-05-17T10:10:08.427000+00:00
53.3257453,-6.524104,2023-05-17T10:10:13.376000+00:00
53.3240618,-6.5271755,2023-05-17T10:10:18.663000+00:00
53.3240618,-6.5271755,2023-05-17T10:10:23.518000+00:00
53.3234921,-6.5260519,2023-05-17T10:10:28.500000+00:00
53.3234114,-6.5258927,2023-05-17T10:10:33.689000+00:00
53.3257453,-6.524104,2023-05-17T10:10:38.545000+00:00
53.3257453,-6.524104,2023-05-17T10:10:43.757000+00:00
53.3231956,-6.5254671,2023-05-17T10:10:47.769000+00:00
53.3231956,-6.5254671,2023-05-17T10:10:52.737000+00:00
53.3231956,-6.5254671,2023-05-17T10:10:58.394000+00:00
53.3231956,-6.5254671,2023-05-17T10:11:02.762000+00:00
