latitude,longitude,created
53.3528997,-6.2470892,2023-05-24T19:41:55.651000+00:00
53.3529191,-6.2470016,2023-05-24T19:42:00.213000+00:00
53.3533053,-6.24737,2023-05-24T19:42:05.567000+00:00
53.3535989,-6.246905,2023-05-24T19:42:10.672000+00:00
53.353808,-6.2463733,2023-05-24T19:42:15.313000+00:00
53.3538147,-6.2462061,2023-05-24T19:42:20.571000+00:00
53.3538478,-6.2460625,2023-05-24T19:42:25.410000+00:00
53.3539051,-6.2458654,2023-05-24T19:42:30.571000+00:00
53.3540222,-6.2456103,2023-05-24T19:42:35.351000+00:00
53.3541618,-6.2453435,2023-05-24T19:42:40.555000+00:00
53.3558385,-6.2440473,2023-05-24T19:42:45.981000+00:00
53.3561043,-6.2437653,2023-05-24T19:42:50.504000+00:00
53.3556764,-6.2420114,2023-05-24T19:42:55.839000+00:00
53.3557113,-6.2413673,2023-05-24T19:43:00.637000+00:00
53.355769,-6.2408781,2023-05-24T19:43:05.537000+00:00
53.3567695,-6.2408188,2023-05-24T19:43:11.031000+00:00
53.3567949,-6.2410652,2023-05-24T19:43:15.828000+00:00
53.3571551,-6.2409211,2023-05-24T19:43:21.249000+00:00
53.3573977,-6.2407916,2023-05-24T19:43:26.051000+00:00
53.3578033,-6.2409074,2023-05-24T19:43:31.411000+00:00
53.3581653,-6.240815,2023-05-24T19:43:36.013000+00:00
53.3585777,-6.2409246,2023-05-24T19:43:40.906000+00:00
53.3590612,-6.2410972,2023-05-24T19:43:45.810000+00:00
53.3592768,-6.2415649,2023-05-24T19:43:51.156000+00:00
53.3596186,-6.2417892,2023-05-24T19:43:55.867000+00:00
53.3600279,-6.2424275,2023-05-24T19:44:01.343000+00:00
53.3603799,-6.2431058,2023-05-24T19:44:05.998000+00:00
53.3607305,-6.2435792,2023-05-24T19:44:11.172000+00:00
53.3609058,-6.244665,2023-05-24T19:44:16.511000+00:00
53.3612689,-6.2453967,2023-05-24T19:44:21.120000+00:00
53.3612914,-6.2465905,2023-05-24T19:44:26.277000+00:00
53.361403,-6.2478034,2023-05-24T19:44:31.535000+00:00
53.3618129,-6.248419,2023-05-24T19:44:36.315000+00:00
53.3621111,-6.2492849,2023-05-24T19:44:41.466000+00:00
53.3622385,-6.2503785,2023-05-24T19:44:46.330000+00:00
53.3620939,-6.251551,2023-05-24T19:44:51.398000+00:00
53.3617649,-6.2524406,2023-05-24T19:44:56.439000+00:00
53.3617074,-6.2533129,2023-05-24T19:45:01.253000+00:00
53.3620504,-6.2543113,2023-05-24T19:45:06.681000+00:00
53.3620219,-6.2554059,2023-05-24T19:45:11.399000+00:00
53.3622359,-6.2562871,2023-05-24T19:45:16.359000+00:00
53.3623246,-6.2569862,2023-05-24T19:45:21.154000+00:00
53.3625954,-6.2578061,2023-05-24T19:45:26.354000+00:00
53.3627248,-6.2585339,2023-05-24T19:45:31.737000+00:00
53.3628723,-6.2591127,2023-05-24T19:45:36.543000+00:00
53.3629812,-6.2595828,2023-05-24T19:45:41.349000+00:00
53.3631248,-6.2600511,2023-05-24T19:45:46.578000+00:00
53.3631931,-6.2602805,2023-05-24T19:45:51.518000+00:00
53.3632912,-6.260637,2023-05-24T19:45:56.880000+00:00
53.3633784,-6.2609517,2023-05-24T19:46:01.432000+00:00
53.3634918,-6.2591674,2023-05-24T19:46:06.706000+00:00
53.3635252,-6.2586516,2023-05-24T19:46:11.534000+00:00
53.3635832,-6.2585097,2023-05-24T19:46:16.572000+00:00
53.3635306,-6.2583596,2023-05-24T19:46:21.670000+00:00
53.3635571,-6.2582517,2023-05-24T19:46:26.553000+00:00
53.363595,-6.2581033,2023-05-24T19:46:31.575000+00:00
53.3636054,-6.2580337,2023-05-24T19:46:36.721000+00:00
53.363589,-6.2580419,2023-05-24T19:46:41.637000+00:00
53.3633243,-6.2597131,2023-05-24T19:46:46.858000+00:00
53.3632955,-6.2599088,2023-05-24T19:46:51.979000+00:00
53.3632573,-6.2601699,2023-05-24T19:46:56.689000+00:00
53.3636322,-6.2616276,2023-05-24T19:47:01.939000+00:00
53.363954,-6.2622197,2023-05-24T19:47:07.007000+00:00
53.364202,-6.2632741,2023-05-24T19:47:11.857000+00:00
53.3644044,-6.2641514,2023-05-24T19:47:17.120000+00:00
53.36459,-6.2649159,2023-05-24T19:47:22.026000+00:00
53.3647279,-6.2654836,2023-05-24T19:47:26.973000+00:00
53.3648117,-6.2666134,2023-05-24T19:47:31.962000+00:00
53.3648978,-6.2672229,2023-05-24T19:47:37.030000+00:00
53.3649817,-6.2686244,2023-05-24T19:47:42.154000+00:00
53.3650537,-6.2692432,2023-05-24T19:47:46.761000+00:00
53.3651493,-6.2705498,2023-05-24T19:47:52.285000+00:00
53.3650523,-6.2718953,2023-05-24T19:47:56.887000+00:00
53.3650633,-6.2727206,2023-05-24T19:48:02.037000+00:00
53.3650818,-6.2737742,2023-05-24T19:48:07.218000+00:00
53.3679523,-6.2741518,2023-05-24T19:48:12.275000+00:00
53.364226,-6.2741756,2023-05-24T19:48:17.097000+00:00
53.3653813,-6.2779587,2023-05-24T19:48:22.355000+00:00
53.3653813,-6.2779587,2023-05-24T19:48:27.378000+00:00
53.3653813,-6.2779587,2023-05-24T19:48:32.123000+00:00
53.3653813,-6.2779587,2023-05-24T19:48:37.136000+00:00
53.3653813,-6.2779587,2023-05-24T19:48:42.052000+00:00
53.3653813,-6.2779587,2023-05-24T19:48:47.147000+00:00
53.3653813,-6.2779587,2023-05-24T19:48:52.189000+00:00
53.3653813,-6.2779587,2023-05-24T19:48:57.426000+00:00
53.3653813,-6.2779587,2023-05-24T19:49:02.192000+00:00
53.3653813,-6.2779587,2023-05-24T19:49:07.362000+00:00
53.3653813,-6.2779587,2023-05-24T19:49:12.249000+00:00
53.3653813,-6.2779587,2023-05-24T19:49:17.158000+00:00
53.373829,-6.2847387,2023-05-24T19:49:22.389000+00:00
53.373829,-6.2847387,2023-05-24T19:49:27.375000+00:00
53.3680689,-6.2876602,2023-05-24T19:49:32.696000+00:00
53.3680689,-6.2876602,2023-05-24T19:49:37.526000+00:00
53.3680689,-6.2876602,2023-05-24T19:49:42.253000+00:00
53.3680689,-6.2876602,2023-05-24T19:49:47.605000+00:00
53.3680689,-6.2876602,2023-05-24T19:49:52.285000+00:00
53.3680689,-6.2876602,2023-05-24T19:49:57.280000+00:00
53.3652489,-6.2902106,2023-05-24T19:50:02.741000+00:00
53.3652489,-6.2902106,2023-05-24T19:50:07.511000+00:00
53.3652489,-6.2902106,2023-05-24T19:50:12.368000+00:00
53.3652489,-6.2902106,2023-05-24T19:50:20.913000+00:00
53.3632362,-6.2921433,2023-05-24T19:50:25.108000+00:00
53.3630942,-6.2924862,2023-05-24T19:50:27.522000+00:00
53.3630345,-6.2926302,2023-05-24T19:50:32.499000+00:00
53.3629618,-6.2928056,2023-05-24T19:50:37.535000+00:00
53.3629004,-6.2929538,2023-05-24T19:50:42.681000+00:00
53.3628581,-6.2930561,2023-05-24T19:50:47.561000+00:00
53.3628332,-6.2931161,2023-05-24T19:50:52.576000+00:00
53.3633673,-6.2934945,2023-05-24T19:50:57.531000+00:00
53.3638771,-6.2938136,2023-05-24T19:51:02.657000+00:00
53.3550054,-6.2949197,2023-05-24T19:51:07.758000+00:00
