latitude,longitude,created
53.3424793,-6.2821393,2023-07-14T08:40:36-01:00
53.3424793,-6.2821393,2023-07-14T08:40:37-01:00
53.3424793,-6.2821393,2023-07-14T08:40:38-01:00
53.3424793,-6.2821393,2023-07-14T08:40:39-01:00
53.3424793,-6.2821393,2023-07-14T08:40:40-01:00
53.3424793,-6.2821393,2023-07-14T08:40:41-01:00
53.3424793,-6.2821393,2023-07-14T08:40:42-01:00
53.3424793,-6.2821393,2023-07-14T08:40:43-01:00
53.3424793,-6.2821393,2023-07-14T08:40:44-01:00
53.3424793,-6.2821393,2023-07-14T08:40:45-01:00
53.3424793,-6.2821393,2023-07-14T08:40:46-01:00
53.3424793,-6.2821393,2023-07-14T08:40:47-01:00
53.3424793,-6.2821393,2023-07-14T08:40:48-01:00
53.3424793,-6.2821393,2023-07-14T08:40:49-01:00
53.3424793,-6.2821393,2023-07-14T08:40:50-01:00
53.3424793,-6.2821393,2023-07-14T08:40:51-01:00
53.3424793,-6.2821393,2023-07-14T08:40:52-01:00
53.3424793,-6.2821393,2023-07-14T08:40:53-01:00
53.3424793,-6.2821393,2023-07-14T08:40:54-01:00
53.3424793,-6.2821393,2023-07-14T08:40:55-01:00
53.3424793,-6.2821393,2023-07-14T08:40:56-01:00
53.3424793,-6.2821393,2023-07-14T08:40:57-01:00
53.3424793,-6.2821393,2023-07-14T08:40:58-01:00
53.3424793,-6.2821393,2023-07-14T08:40:59-01:00
53.3424793,-6.2821393,2023-07-14T08:41:00-01:00
53.3424793,-6.2821393,2023-07-14T08:41:01-01:00
53.3424793,-6.2821393,2023-07-14T08:41:02-01:00
53.3424793,-6.2821393,2023-07-14T08:41:03-01:00
53.3424793,-6.2821393,2023-07-14T08:41:04-01:00
53.3424793,-6.2821393,2023-07-14T08:41:05-01:00
53.3424793,-6.2821393,2023-07-14T08:41:06-01:00
53.3424793,-6.2821393,2023-07-14T08:41:07-01:00
53.3424793,-6.2821393,2023-07-14T08:41:08-01:00
53.3424793,-6.2821393,2023-07-14T08:41:09-01:00
53.3424793,-6.2821393,2023-07-14T08:41:10-01:00
53.3424793,-6.2821393,2023-07-14T08:41:11-01:00
53.3424793,-6.2821393,2023-07-14T08:41:12-01:00
53.3424793,-6.2821393,2023-07-14T08:41:13-01:00
53.3424793,-6.2821393,2023-07-14T08:41:14-01:00
53.3424793,-6.2821393,2023-07-14T08:41:15-01:00
53.3424793,-6.2821393,2023-07-14T08:41:16-01:00
53.3424793,-6.2821393,2023-07-14T08:41:17-01:00
53.3424793,-6.2821393,2023-07-14T08:41:18-01:00
53.3424793,-6.2821393,2023-07-14T08:41:19-01:00
53.3424793,-6.2821393,2023-07-14T08:41:20-01:00
53.3424793,-6.2821393,2023-07-14T08:41:21-01:00
53.3424793,-6.2821393,2023-07-14T08:41:22-01:00
53.3424793,-6.2821393,2023-07-14T08:41:23-01:00
53.3424793,-6.2821393,2023-07-14T08:41:24-01:00
53.3424793,-6.2821393,2023-07-14T08:41:25-01:00
53.3424793,-6.2821393,2023-07-14T08:41:26-01:00
53.3424793,-6.2821393,2023-07-14T08:41:27-01:00
53.3424793,-6.2821393,2023-07-14T08:41:28-01:00
53.3424793,-6.2821393,2023-07-14T08:41:29-01:00
53.3423922,-6.2823483,2023-07-14T08:41:30-01:00
53.3423922,-6.2823483,2023-07-14T08:41:31-01:00
53.3423922,-6.2823483,2023-07-14T08:41:32-01:00
53.3423922,-6.2823483,2023-07-14T08:41:33-01:00
53.3423922,-6.2823483,2023-07-14T08:41:34-01:00
53.3423301,-6.2823454,2023-07-14T08:41:35-01:00
53.3423301,-6.2823454,2023-07-14T08:41:36-01:00
53.3423301,-6.2823454,2023-07-14T08:41:37-01:00
53.3423301,-6.2823454,2023-07-14T08:41:38-01:00
53.3423301,-6.2823454,2023-07-14T08:41:39-01:00
53.3422382,-6.28198,2023-07-14T08:41:41-01:00
53.3422116,-6.2817817,2023-07-14T08:41:47-01:00
53.3423496,-6.281653,2023-07-14T08:41:51-01:00
53.3424155,-6.2816125,2023-07-14T08:41:56-01:00
53.3424434,-6.2815773,2023-07-14T08:42:01-01:00
53.3425166,-6.2816059,2023-07-14T08:42:07-01:00
53.3425634,-6.2816095,2023-07-14T08:42:11-01:00
53.3426494,-6.2816008,2023-07-14T08:42:16-01:00
53.3427231,-6.2815894,2023-07-14T08:42:21-01:00
53.3427874,-6.2815722,2023-07-14T08:42:26-01:00
53.3428467,-6.2815541,2023-07-14T08:42:31-01:00
53.3429501,-6.2815089,2023-07-14T08:42:36-01:00
53.3430667,-6.2814363,2023-07-14T08:42:41-01:00
53.3453104,-6.2807642,2023-07-14T08:42:47-01:00
53.3429895,-6.2800269,2023-07-14T08:42:52-01:00
53.3429895,-6.2800269,2023-07-14T08:42:56-01:00
53.3431078,-6.2807094,2023-07-14T08:43:01-01:00
