latitude,longitude,created
37.3862308,-6.0022632,2022-12-11T19:44:38.198000+00:00
37.3876801,-6.001227,2022-12-11T19:44:45.107000+00:00
37.387721,-6.0013576,2022-12-11T19:44:51.722000+00:00
37.3877333,-6.0013049,2022-12-11T19:44:56.723000+00:00
37.3877887,-6.001304,2022-12-11T19:45:01.723000+00:00
37.3878274,-6.001236,2022-12-11T19:45:06.458000+00:00
37.3879151,-6.0010894,2022-12-11T19:45:11.794000+00:00
37.3879937,-6.001043,2022-12-11T19:45:16.531000+00:00
37.3880289,-6.001017,2022-12-11T19:45:21.651000+00:00
37.3881134,-6.0009359,2022-12-11T19:45:26.452000+00:00
37.3881597,-6.0009002,2022-12-11T19:45:31.356000+00:00
37.3882398,-6.000849,2022-12-11T19:45:38.856000+00:00
37.3882821,-6.0007727,2022-12-11T19:45:43.819000+00:00
37.3883178,-6.0006859,2022-12-11T19:45:49.247000+00:00
37.3884124,-6.0006444,2022-12-11T19:45:53.803000+00:00
37.3885193,-6.0006098,2022-12-11T19:45:58.983000+00:00
37.3885736,-6.00059,2022-12-11T19:46:04.277000+00:00
37.3886103,-6.0005835,2022-12-11T19:46:09.230000+00:00
37.3886317,-6.0005883,2022-12-11T19:46:14.439000+00:00
37.3886374,-6.0005799,2022-12-11T19:46:19.069000+00:00
37.3886496,-6.0004658,2022-12-11T19:46:24.368000+00:00
37.3886579,-6.0003323,2022-12-11T19:46:29.293000+00:00
37.388697,-6.0002128,2022-12-11T19:46:34.317000+00:00
37.3887293,-6.0001414,2022-12-11T19:46:39.606000+00:00
37.3887657,-6.0001121,2022-12-11T19:46:44.153000+00:00
37.3888403,-6.0000525,2022-12-11T19:46:49.375000+00:00
37.3889221,-6.0000112,2022-12-11T19:46:54.599000+00:00
37.3889804,-5.9999332,2022-12-11T19:46:59.409000+00:00
37.389026,-5.9998032,2022-12-11T19:47:04.340000+00:00
37.3891417,-5.9996759,2022-12-11T19:47:09.369000+00:00
37.3892468,-5.9996653,2022-12-11T19:47:14.591000+00:00
37.3892988,-5.9996632,2022-12-11T19:47:19.643000+00:00
37.3893468,-5.9996443,2022-12-11T19:47:24.529000+00:00
37.389415,-5.9995804,2022-12-11T19:47:29.753000+00:00
37.3894525,-5.9995324,2022-12-11T19:47:34.789000+00:00
37.3894663,-5.9995209,2022-12-11T19:47:39.526000+00:00
37.3895035,-5.9994421,2022-12-11T19:47:44.920000+00:00
37.3894905,-5.9993826,2022-12-11T19:47:49.818000+00:00
37.3894926,-5.9993186,2022-12-11T19:47:54.800000+00:00
37.3895143,-5.9992554,2022-12-11T19:47:59.447000+00:00
37.3896776,-5.9991062,2022-12-11T19:48:05.071000+00:00
37.3897474,-5.9990294,2022-12-11T19:48:09.599000+00:00
37.3898189,-5.9989126,2022-12-11T19:48:14.476000+00:00
37.3898602,-5.9988455,2022-12-11T19:48:19.794000+00:00
37.3898891,-5.9987887,2022-12-11T19:48:24.628000+00:00
37.3899131,-5.9987448,2022-12-11T19:48:29.606000+00:00
37.3899601,-5.998659,2022-12-11T19:48:34.975000+00:00
37.3900008,-5.9985811,2022-12-11T19:48:39.695000+00:00
37.3900588,-5.9985478,2022-12-11T19:48:44.763000+00:00
37.3901186,-5.9984563,2022-12-11T19:48:49.857000+00:00
37.3901589,-5.9983132,2022-12-11T19:48:54.811000+00:00
37.3902085,-5.9982402,2022-12-11T19:49:00.115000+00:00
37.3902332,-5.9981792,2022-12-11T19:49:05.028000+00:00
37.3903127,-5.9980651,2022-12-11T19:49:09.974000+00:00
37.3903802,-5.9979725,2022-12-11T19:49:15.437000+00:00
37.3904433,-5.9979531,2022-12-11T19:49:20.131000+00:00
37.3904873,-5.9979274,2022-12-11T19:49:25.429000+00:00
37.3905168,-5.9978979,2022-12-11T19:49:30.120000+00:00
37.3905619,-5.9978408,2022-12-11T19:49:35.028000+00:00
37.3906226,-5.9977207,2022-12-11T19:49:40.615000+00:00
37.3906401,-5.9976775,2022-12-11T19:49:45.305000+00:00
37.390618,-5.9975472,2022-12-11T19:49:50.413000+00:00
37.3906058,-5.9974711,2022-12-11T19:49:55.222000+00:00
37.3906064,-5.9973919,2022-12-11T19:50:00.176000+00:00
37.3906318,-5.9973462,2022-12-11T19:50:05.077000+00:00
37.3906529,-5.9972796,2022-12-11T19:50:09.912000+00:00
37.3906702,-5.9972164,2022-12-11T19:50:15.028000+00:00
37.3906991,-5.997107,2022-12-11T19:50:20.252000+00:00
37.3907426,-5.9970003,2022-12-11T19:50:25.278000+00:00
